I_0,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20,I_21,I_22,I_23,I_24,I_25,I_26,I_27,I_28,I_29,I_30,I_31,I_32,I_33,I_34,I_35,I_36,I_37,I_38,I_39,I_40,I_41,I_42,I_43,I_44,I_45,I_46,I_47,I_48,I_49,I_50,I_51,I_52,I_53,I_54,I_55,I_56,I_57,I_58,I_59,I_60,I_61,I_62,I_63,I_64,I_65,I_66,I_67,I_68,I_69,I_70,I_71,I_72,I_73,I_74,I_75,I_76,I_77,I_78,I_79,I_80,I_81,I_82,I_83,I_84,I_85,I_86,I_87,I_88,I_89,I_90,I_91,I_92,I_93,I_94,I_95,I_96,I_97,I_98,I_99
1.9169847821729955e-05,2.845428173127602e-05,3.862300418315441e-05,4.8036983001363955e-05,5.5857932450104255e-05,6.234278888909845e-05,6.856013190912599e-05,7.565701935226278e-05,8.403493921716288e-05,9.285257472817393e-05,0.00010012750018682748,0.00010342532219323222,0.0001008391529431297,9.181482497966813e-05,7.744323324181665e-05,6.0092062909752216e-05,4.256375620967838e-05,2.718876252493317e-05,1.5279083130802295e-05,7.164566376362896e-06,2.713314180055724e-06,1.964590740487565e-06,5.428852799330498e-06,1.3790607652661899e-05,2.710907934931139e-05,4.396805150284974e-05,6.117839959782471e-05,7.446613384612201e-05,8.012154391778538e-05,7.703451201110799e-05,6.817087513346571e-05,6.0582638917273306e-05,6.355266097262679e-05,8.529264097178194e-05,0.0001294046467134158,0.00019269947191124677,0.00026568579547738133,0.00033611100669710993,0.00039465209237119663,0.00044072819957084264,0.0004859461243852601,0.0005531929226271373,0.0006707876818921838,0.0008629512825652014,0.001139469559174988,0.001488152674648809,0.0018731587465933013,0.0022405361199742584,0.002529985584296699,0.0026896667881972256,0.002689666788197227,0.0025299855842967,0.0022405361199742584,0.0018731587465933013,0.001488152674648809,0.001139469559174988,0.0008629512825652014,0.0006707876818921838,0.0005531929226271373,0.0004859461243852601,0.00044072819957084264,0.00039465209237119663,0.00033611100669710993,0.00026568579547738133,0.00019269947191124677,0.00012940464671341612,8.529264097178194e-05,6.35526609726269e-05,6.0582638917273306e-05,6.817087513346566e-05,7.703451201110799e-05,8.012154391778534e-05,7.446613384612201e-05,6.117839959782487e-05,4.396805150284974e-05,2.710907934931152e-05,1.3790607652661899e-05,5.428852799330505e-06,1.964590740487554e-06,2.7133141800557133e-06,7.164566376362921e-06,1.527908313080225e-05,2.718876252493317e-05,4.256375620967838e-05,6.0092062909752216e-05,7.744323324181665e-05,9.181482497966813e-05,0.0001008391529431297,0.00010342532219323227,0.00010012750018682748,9.285257472817385e-05,8.403493921716288e-05,7.565701935226264e-05,6.856013190912599e-05,6.234278888909844e-05,5.5857932450104255e-05,4.803698300136407e-05,3.862300418315441e-05,2.8454281731276087e-05,1.9169847821729955e-05
1.4615759417368466e-06,5.807754635206174e-06,9.869512264451491e-06,1.0891601740193228e-05,8.191505838659635e-06,3.4829949009874728e-06,1.9027462681216917e-07,2.0626954131445296e-06,1.1680189258001513e-05,2.9465996734742055e-05,5.359032297422003e-05,8.076031524986822e-05,0.00010751627322569906,0.00013145134898470036,0.00015182617852299923,0.0001693337850931814,0.00018515800531235973,0.00019979088667572022,0.0002121903050290765,0.0002197171135980083,0.00021895133818809073,0.00020709462588562816,0.00018338997322156584,0.00014994965875105988,0.00011159851438660712,7.472421093804273e-05,4.552037039660074e-05,2.8249736197116436e-05,2.4145596856736032e-05,3.1317219745329624e-05,4.563656111574917e-05,6.221990673739203e-05,7.69253675710456e-05,8.733556005419283e-05,9.295148187128532e-05,9.466973687571485e-05,9.389954581596455e-05,9.17806019888637e-05,8.885335574296202e-05,8.52710288654438e-05,8.135478736413957e-05,7.811498773648374e-05,7.737434211962578e-05,8.132619762813464e-05,9.165064111098172e-05,0.00010855731023466495,0.0001302090814100861,0.00015285891656487057,0.00017174966151261523,0.0001825033423788422,0.0001825033423788423,0.00017174966151261515,0.00015285891656487057,0.0001302090814100861,0.00010855731023466495,9.165064111098172e-05,8.132619762813464e-05,7.737434211962578e-05,7.811498773648374e-05,8.135478736413957e-05,8.52710288654438e-05,8.885335574296202e-05,9.17806019888637e-05,9.389954581596455e-05,9.466973687571485e-05,9.295148187128541e-05,8.733556005419283e-05,7.692536757104558e-05,6.221990673739203e-05,4.5636561115749284e-05,3.1317219745329624e-05,2.4145596856736035e-05,2.8249736197116436e-05,4.552037039660059e-05,7.472421093804273e-05,0.00011159851438660675,0.00014994965875105988,0.00018338997322156573,0.00020709462588562827,0.00021895133818809084,0.00021971711359800817,0.00021219030502907653,0.00019979088667572022,0.00018515800531235973,0.0001693337850931814,0.00015182617852299923,0.00013145134898470036,0.00010751627322569906,8.076031524986805e-05,5.359032297422003e-05,2.9465996734741913e-05,1.1680189258001513e-05,2.0626954131444826e-06,1.9027462681216917e-07,3.482994900987514e-06,8.191505838659635e-06,1.0891601740193233e-05,9.869512264451491e-06,5.807754635206216e-06,1.4615759417368466e-06
3.288821149885422e-05,2.6672232985568746e-05,2.6489435897984246e-05,3.2469308188490926e-05,4.309529031304241e-05,5.579461649281213e-05,6.790791232280985e-05,7.76607763028587e-05,8.475352812971674e-05,9.033195059066781e-05,9.634485874910036e-05,0.00010453857525860001,0.00011548765713654315,0.00012805624984322964,0.00013952615449722234,0.00014637649232214435,0.0001454516740937022,0.00013510327063789022,0.00011589349429683179,9.06010294682386e-05,6.3515406568863e-05,3.9252877311954234e-05,2.1486055475998003e-05,1.1997698376758303e-05,1.0345334990967125e-05,1.4208100818063011e-05,2.0259950643357698e-05,2.525343083476326e-05,2.6955487040227384e-05,2.4656849118568788e-05,1.914188803561252e-05,1.219286983276882e-05,5.846121864358746e-06,1.673935459399305e-06,3.2547039311637816e-07,1.4467569189285947e-06,3.960062542505479e-06,6.565838788321181e-06,8.271975951715696e-06,8.767093061602284e-06,8.524413498478493e-06,8.620827254977975e-06,1.0347609577198186e-05,1.4747487788595255e-05,2.2224299925382228e-05,3.233930201267823e-05,4.3847341689082595e-05,5.4957113727413184e-05,6.374159760612669e-05,6.859043435312539e-05,6.859043435312548e-05,6.374159760612684e-05,5.4957113727413184e-05,4.3847341689082595e-05,3.233930201267823e-05,2.2224299925382228e-05,1.4747487788595255e-05,1.0347609577198186e-05,8.620827254977975e-06,8.524413498478493e-06,8.767093061602284e-06,8.271975951715696e-06,6.565838788321181e-06,3.960062542505479e-06,1.4467569189285947e-06,3.2547039311638017e-07,1.673935459399305e-06,5.846121864358693e-06,1.219286983276882e-05,1.9141888035612464e-05,2.4656849118568788e-05,2.6955487040227405e-05,2.525343083476326e-05,2.0259950643357806e-05,1.4208100818063011e-05,1.0345334990967134e-05,1.1997698376758303e-05,2.1486055475997894e-05,3.925287731195431e-05,6.351540656886292e-05,9.06010294682387e-05,0.00011589349429683172,0.00013510327063789022,0.0001454516740937022,0.00014637649232214435,0.00013952615449722234,0.00012805624984322964,0.00011548765713654315,0.0001045385752585999,9.634485874910036e-05,9.03319505906678e-05,8.475352812971674e-05,7.766077630285856e-05,6.790791232280985e-05,5.579461649281206e-05,4.309529031304241e-05,3.2469308188490993e-05,2.6489435897984246e-05,2.667223298556873e-05,3.288821149885422e-05
0.00016340475097841479,0.00012254152550252506,8.734826511361543e-05,6.39784775101304e-05,5.577867452689391e-05,6.29324650212989e-05,8.281703161889281e-05,0.00011082856644294381,0.0001414061442543503,0.0001690459922616944,0.00018918448602921138,0.000198883382393375,0.0001972584574097815,0.0001855782455907866,0.00016696843431228585,0.00014572225736313903,0.0001263325102708832,0.00011248018884020829,0.00010627285938453165,0.00010797427720140427,0.00011630495807959122,0.00012917739406671487,0.00014455151960568918,0.00016104251294368814,0.00017802168822566628,0.0001951869390514914,0.00021184336656346372,0.0002263060513631718,0.00023582622451852865,0.00023723644435627236,0.00022818519718798968,0.00020852272986987932,0.00018124784461170555,0.00015251174949925192,0.00013048437898666529,0.0001233095949621923,0.00013674447352152917,0.00017224506495625255,0.00022615396865484412,0.0002902986962776868,0.0003538524210395798,0.00040590934472670734,0.0004380268622246704,0.0004460447528762458,0.0004307655883237045,0.00039745143375544877,0.0003544182902758861,0.0003111870010248043,0.0002766479750182468,0.00025756424659699917,0.00025756424659699993,0.0002766479750182471,0.0003111870010248043,0.0003544182902758861,0.00039745143375544877,0.0004307655883237045,0.0004460447528762458,0.0004380268622246704,0.00040590934472670734,0.0003538524210395798,0.0002902986962776868,0.00022615396865484412,0.00017224506495625255,0.00013674447352152917,0.0001233095949621923,0.0001304843789866652,0.00015251174949925192,0.00018124784461170528,0.00020852272986987932,0.00022818519718798957,0.00023723644435627236,0.00023582622451852878,0.0002263060513631718,0.00021184336656346377,0.0001951869390514914,0.00017802168822566628,0.00016104251294368814,0.0001445515196056893,0.00012917739406671482,0.00011630495807959139,0.00010797427720140417,0.00010627285938453158,0.00011248018884020829,0.0001263325102708832,0.00014572225736313903,0.00016696843431228585,0.0001855782455907866,0.0001972584574097815,0.00019888338239337476,0.00018918448602921138,0.00016904599226169424,0.0001414061442543503,0.0001108285664429436,8.281703161889281e-05,6.293246502129873e-05,5.577867452689391e-05,6.397847751013025e-05,8.734826511361543e-05,0.00012254152550252476,0.00016340475097841479
0.00010070943809431349,0.00010587808559894984,0.00012318900618897409,0.00014469593642633914,0.00016060746768422425,0.00016291129404657053,0.00014829893887531335,0.00011926473079408608,8.300645008989501e-05,4.864043472502029e-05,2.38903915111139e-05,1.255698017611093e-05,1.3683422386379793e-05,2.258929273105935e-05,3.317918189981475e-05,4.046774200409406e-05,4.227531783294606e-05,3.9501257320905035e-05,3.5049084681005856e-05,3.205333563332883e-05,3.229566043104724e-05,3.551707002986919e-05,3.984607963260267e-05,4.3013202414877194e-05,4.366919885654667e-05,4.212127181543057e-05,4.013079346663787e-05,3.990553171890395e-05,4.282735757824845e-05,4.8588446825388534e-05,5.520702652897066e-05,5.9959752100454276e-05,6.081192413580374e-05,5.76662394075547e-05,5.280841262009459e-05,5.027692620119151e-05,5.4363367251268724e-05,6.784125010101018e-05,9.065092708150611e-05,0.00011958399259785074,0.0001491014631068091,0.00017297031091767913,0.00018610519789618774,0.00018597074073951867,0.00017312430965230546,0.0001508396657262185,0.00012408030932406126,9.825479507306291e-05,7.814337695030865e-05,6.719694304440714e-05,6.719694304440705e-05,7.814337695030845e-05,9.825479507306291e-05,0.00012408030932406126,0.0001508396657262185,0.00017312430965230546,0.00018597074073951867,0.00018610519789618774,0.00017297031091767913,0.0001491014631068091,0.00011958399259785074,9.065092708150611e-05,6.784125010101018e-05,5.4363367251268724e-05,5.027692620119151e-05,5.280841262009458e-05,5.76662394075547e-05,6.081192413580373e-05,5.9959752100454276e-05,5.520702652897067e-05,4.8588446825388534e-05,4.282735757824843e-05,3.990553171890395e-05,4.013079346663783e-05,4.212127181543057e-05,4.3669198856546726e-05,4.3013202414877194e-05,3.98460796326027e-05,3.55170700298692e-05,3.22956604310472e-05,3.205333563332885e-05,3.5049084681005815e-05,3.9501257320905035e-05,4.227531783294606e-05,4.046774200409406e-05,3.317918189981475e-05,2.258929273105935e-05,1.3683422386379793e-05,1.2556980176110954e-05,2.38903915111139e-05,4.864043472502043e-05,8.300645008989501e-05,0.00011926473079408633,0.00014829893887531335,0.0001629112940465707,0.00016060746768422425,0.0001446959364263393,0.00012318900618897409,0.00010587808559894996,0.00010070943809431349
6.183302996571622e-05,6.452885566081885e-05,6.619937163546918e-05,6.615617688506316e-05,6.388686818506895e-05,5.9401673546080254e-05,5.344087107634305e-05,4.7425702696695917e-05,4.31299947994049e-05,4.216041502836394e-05,4.5415731974904996e-05,5.271570593638089e-05,6.273898418539364e-05,7.330557066535432e-05,8.192244621594137e-05,8.642439819352279e-05,8.551667052343567e-05,7.90677295886133e-05,6.808974786306623e-05,5.44455484493329e-05,4.0396875926554336e-05,2.813649185194285e-05,1.942339540813807e-05,1.5383586358039707e-05,1.647536411321012e-05,2.2572821549877722e-05,3.310623720655165e-05,4.7210350863470687e-05,6.385669195386788e-05,8.19674924065907e-05,0.00010051582639744473,0.00011860973193742999,0.0001355464416565336,0.0001508183788220081,0.00016406237768008559,0.00017496553092053723,0.00018316455482884675,0.0001881871162330606,0.00018947423955301777,0.00018649363776086265,0.0001789158047192129,0.00016679458519894142,0.00015068586141599223,0.00013165669150559287,0.00011117540942962213,9.091466510398148e-05,7.252652262445352e-05,5.745066085045966e-05,4.679427835036523e-05,4.128743974928975e-05,4.128743974928971e-05,4.679427835036501e-05,5.745066085045966e-05,7.252652262445352e-05,9.091466510398148e-05,0.00011117540942962213,0.00013165669150559287,0.00015068586141599223,0.00016679458519894142,0.0001789158047192129,0.00018649363776086265,0.00018947423955301777,0.0001881871162330606,0.00018316455482884675,0.00017496553092053723,0.00016406237768008572,0.0001508183788220081,0.00013554644165653373,0.00011860973193742999,0.00010051582639744487,8.19674924065907e-05,6.385669195386799e-05,4.7210350863470687e-05,3.3106237206551755e-05,2.2572821549877722e-05,1.647536411321012e-05,1.5383586358039707e-05,1.9423395408138015e-05,2.8136491851942858e-05,4.039687592655423e-05,5.444554844933288e-05,6.80897478630662e-05,7.90677295886133e-05,8.551667052343567e-05,8.642439819352279e-05,8.192244621594137e-05,7.330557066535432e-05,6.273898418539364e-05,5.2715705936380836e-05,4.5415731974904996e-05,4.216041502836396e-05,4.31299947994049e-05,4.7425702696696005e-05,5.344087107634305e-05,5.9401673546080315e-05,6.388686818506895e-05,6.615617688506318e-05,6.619937163546918e-05,6.452885566081887e-05,6.183302996571622e-05
1.4049164210966777e-05,1.2386612267980478e-05,1.0614894498798766e-05,9.905845440067901e-06,1.1061535154642444e-05,1.4260407074530941e-05,1.911152107444482e-05,2.4975643617858855e-05,3.137799112236117e-05,3.8279721139252145e-05,4.602949573576186e-05,5.497027041796956e-05,6.486921024046331e-05,7.448257863173557e-05,8.158394140324359e-05,8.364047059726003e-05,7.905364902221269e-05,6.858509696727002e-05,5.639291746028373e-05,5.011491489292257e-05,5.968787418715207e-05,9.502569044471241e-05,0.00016314653027871628,0.00026565587343566543,0.00039750692486827794,0.0005476212116776986,0.0007013437801889006,0.0008440323765871179,0.00096459518663949,0.001057711978015306,0.001123880652822718,0.0011672246816343084,0.0011919104069502088,0.0011987088645024826,0.0011833909672960697,0.0011381319244842061,0.0010560260049969207,0.0009375119170816123,0.0007964488019215457,0.0006632011573904143,0.0005826314578186972,0.0006062996695136894,0.0007800507918853381,0.0011299426474313228,0.001650508100953097,0.0022992270220944006,0.0029997222139780543,0.0036539131794360597,0.004160808514977507,0.004437567149090523,0.0044375671490905245,0.004160808514977507,0.0036539131794360597,0.0029997222139780543,0.0022992270220944006,0.001650508100953097,0.0011299426474313228,0.0007800507918853381,0.0006062996695136894,0.0005826314578186972,0.0006632011573904143,0.0007964488019215457,0.0009375119170816123,0.0010560260049969207,0.0011381319244842061,0.001183390967296069,0.0011987088645024826,0.0011919104069502092,0.0011672246816343084,0.0011238806528227198,0.001057711978015306,0.0009645951866394906,0.0008440323765871179,0.0007013437801889019,0.0005476212116776986,0.0003975069248682794,0.00026565587343566543,0.00016314653027871663,9.502569044471227e-05,5.968787418715222e-05,5.0114914892922585e-05,5.639291746028368e-05,6.858509696727002e-05,7.905364902221269e-05,8.364047059726003e-05,8.158394140324359e-05,7.448257863173557e-05,6.486921024046331e-05,5.497027041796944e-05,4.602949573576186e-05,3.827972113925219e-05,3.137799112236117e-05,2.497564361785882e-05,1.911152107444482e-05,1.426040707453093e-05,1.1061535154642444e-05,9.905845440067884e-06,1.0614894498798766e-05,1.238661226798049e-05,1.4049164210966777e-05
0.00014195803565345905,0.00013555983445793108,0.00011324475683407108,8.015548506243393e-05,4.516572537256452e-05,1.735450726819559e-05,2.4943569030446486e-06,1.022527466011209e-06,8.32608968017836e-06,1.7176005398331572e-05,2.1217206469744066e-05,1.7962248727677992e-05,9.949850729089102e-06,3.5331930265597687e-06,5.815560582529384e-06,2.1096644639527186e-05,4.8454793314894544e-05,8.163656228144732e-05,0.00011143177371189582,0.00012959837199277044,0.00013265335297557622,0.00012381016579888433,0.00011206929353058298,0.00010867684830583577,0.00012235156262750555,0.00015532218433565823,0.0002020005640495105,0.0002510793978473945,0.00029038278655821597,0.0003125161761393462,0.00031882800598755356,0.0003196982797755803,0.00033058036988067396,0.00036501996343633766,0.00042733489253152256,0.00050812014317699,0.0005849538370032731,0.0006288270613528944,0.0006145541031859899,0.0005316077094908281,0.0003912217082943744,0.00022654945199376922,8.492529787162583e-05,1.4093646187305855e-05,4.6632044456507455e-05,0.00018779776492330367,0.0004112218500598229,0.0006644536188616882,0.0008831111455448287,0.0010094364429743526,0.0010094364429743547,0.0008831111455448298,0.0006644536188616882,0.0004112218500598229,0.00018779776492330367,4.6632044456507455e-05,1.4093646187305855e-05,8.492529787162583e-05,0.00022654945199376922,0.0003912217082943744,0.0005316077094908281,0.0006145541031859899,0.0006288270613528944,0.0005849538370032731,0.00050812014317699,0.0004273348925315231,0.00036501996343633766,0.0003305803698806741,0.0003196982797755803,0.0003188280059875537,0.0003125161761393462,0.0002903827865582163,0.0002510793978473945,0.00020200056404951112,0.00015532218433565823,0.00012235156262750582,0.00010867684830583577,0.00011206929353058305,0.00012381016579888436,0.0001326533529755761,0.00012959837199277027,0.00011143177371189591,8.163656228144732e-05,4.8454793314894544e-05,2.1096644639527186e-05,5.815560582529384e-06,3.5331930265597687e-06,9.949850729089102e-06,1.796224872767803e-05,2.1217206469744066e-05,1.717600539833152e-05,8.32608968017836e-06,1.0225274660111625e-06,2.4943569030446486e-06,1.7354507268195836e-05,4.516572537256452e-05,8.015548506243363e-05,0.00011324475683407108,0.00013555983445793108,0.00014195803565345905
2.5583743332540915e-05,2.210609062702696e-05,1.8990192919058694e-05,1.694182485051177e-05,1.6153925155272872e-05,1.6162422665520614e-05,1.5999945620422563e-05,1.4644866806767359e-05,1.1613073202005977e-05,7.430286470964161e-06,3.71738453788402e-06,2.7458257102691912e-06,6.543026179566462e-06,1.5862886395156122e-05,2.9475939261743e-05,4.419168926520754e-05,5.5784968051333274e-05,6.062867889326806e-05,5.747868126063018e-05,4.867424980409917e-05,4.01220828379807e-05,3.98287952450118e-05,5.5314909865532376e-05,9.076716324223195e-05,0.00014503469305246808,0.00021139925060773224,0.0002794585107616378,0.0003386405123954478,0.00038212613220354216,0.0004096167456018193,0.0004276462505258262,0.0004469798064340166,0.00047780272045087847,0.0005244511796604538,0.0005819266710242381,0.000636085709102723,0.0006682205477725547,0.0006630880675199705,0.0006178807078913683,0.0005487814998251687,0.0004920281895666802,0.0004978775747884273,0.0006181264330976281,0.0008901920952106996,0.0013223634121363563,0.0018850657566893,0.0025116320342786535,0.0031094564296637547,0.0035793024386344997,0.0038379259569393544,0.0038379259569393557,0.0035793024386345015,0.0031094564296637547,0.0025116320342786535,0.0018850657566893,0.0013223634121363563,0.0008901920952106996,0.0006181264330976281,0.0004978775747884273,0.0004920281895666802,0.0005487814998251687,0.0006178807078913683,0.0006630880675199705,0.0006682205477725547,0.000636085709102723,0.0005819266710242383,0.0005244511796604538,0.0004778027204508789,0.0004469798064340166,0.00042764625052582605,0.0004096167456018193,0.0003821261322035427,0.0003386405123954478,0.00027945851076163867,0.00021139925060773224,0.0001450346930524687,9.076716324223195e-05,5.531490986553244e-05,3.982879524501177e-05,4.012208283798071e-05,4.8674249804099235e-05,5.747868126063007e-05,6.062867889326806e-05,5.5784968051333274e-05,4.419168926520754e-05,2.9475939261743e-05,1.5862886395156122e-05,6.543026179566462e-06,2.745825710269171e-06,3.71738453788402e-06,7.4302864709642006e-06,1.1613073202005977e-05,1.4644866806767425e-05,1.5999945620422563e-05,1.616242266552062e-05,1.6153925155272872e-05,1.694182485051172e-05,1.8990192919058694e-05,2.2106090627026887e-05,2.5583743332540915e-05
1.9838248827250144e-05,1.5711269384572123e-05,1.6161746994279516e-05,2.256442123447529e-05,3.3997569724116645e-05,4.750809013544082e-05,5.921523534681273e-05,6.582252759124789e-05,6.594058147042859e-05,6.070202543007322e-05,5.3438287586331226e-05,4.856491478742425e-05,5.0131018723189847e-05,6.0604105164163e-05,8.034097420072593e-05,0.00010789398900897234,0.00014094862284976542,0.00017743044366495735,0.00021626303273108554,0.0002574237752094121,0.0003012617181219283,0.0003473793429423517,0.00039359945273338004,0.0004355487151469977,0.0004671827462360904,0.0004822301634159229,0.0004761742123804048,0.00044815309402069473,0.00040213091592897383,0.00034688156549093533,0.0002946725705973646,0.00025892000131902686,0.0002513856711486855,0.00027961510811840115,0.0003452401134035863,0.00044352855086226883,0.0005642382729586797,0.0006935197932170716,0.0008163958075502712,0.0009192692937966007,0.0009919748295299376,0.0010290516374288276,0.0010301234696468349,0.000999461749235431,0.000944942510469705,0.0008766667278815293,0.0008055029565953838,0.0007417523949154582,0.0006940575942637063,0.0006686027168272212,0.0006686027168272206,0.0006940575942637052,0.0007417523949154582,0.0008055029565953838,0.0008766667278815293,0.000944942510469705,0.000999461749235431,0.0010301234696468349,0.0010290516374288276,0.0009919748295299376,0.0009192692937966007,0.0008163958075502712,0.0006935197932170716,0.0005642382729586797,0.00044352855086226883,0.0003452401134035871,0.00027961510811840115,0.0002513856711486855,0.00025892000131902686,0.0002946725705973642,0.00034688156549093533,0.0004021309159289735,0.00044815309402069473,0.0004761742123804047,0.0004822301634159229,0.0004671827462360907,0.0004355487151469977,0.00039359945273338047,0.00034737934294235115,0.0003012617181219284,0.00025742377520941175,0.0002162630327310857,0.00017743044366495735,0.00014094862284976542,0.00010789398900897234,8.034097420072593e-05,6.0604105164163e-05,5.0131018723189847e-05,4.856491478742433e-05,5.3438287586331226e-05,6.0702025430073265e-05,6.594058147042859e-05,6.582252759124788e-05,5.921523534681273e-05,4.750809013544064e-05,3.3997569724116645e-05,2.256442123447545e-05,1.6161746994279516e-05,1.5711269384572096e-05,1.9838248827250144e-05
